iter	Passed	Remaining
0	0	542
1	0	414
2	1	366
3	1	330
4	1	305
5	1	290
6	1	281
7	2	271
8	2	268
9	2	263
10	2	259
11	3	255
12	3	249
13	3	246
14	3	244
15	3	242
16	4	239
17	4	236
18	4	235
19	4	233
20	5	233
21	5	232
22	5	232
23	5	231
24	5	232
25	6	231
26	6	234
27	6	236
28	7	237
29	7	239
30	7	243
31	8	243
32	8	242
33	8	242
34	8	241
35	8	240
36	9	239
37	9	239
38	9	239
39	9	239
40	10	239
41	12	295
42	14	314
43	14	312
44	14	309
45	14	307
46	15	304
47	15	302
48	15	300
49	15	298
50	15	296
51	16	294
52	16	291
53	16	289
54	16	287
55	16	286
56	17	285
57	17	284
58	17	283
59	18	282
60	18	281
61	18	280
62	18	278
63	18	277
64	19	275
65	19	274
66	19	273
67	19	271
68	20	270
69	20	268
70	20	267
71	20	265
72	20	264
73	21	263
74	21	262
75	21	261
76	21	259
77	21	258
78	22	257
79	22	256
80	22	255
81	22	254
82	22	251
83	22	250
84	23	249
85	23	248
86	23	247
87	23	246
88	24	245
89	24	245
90	24	244
91	24	243
92	24	242
93	25	241
94	25	240
95	25	240
96	25	239
97	25	239
98	26	238
99	26	238
100	26	237
101	26	236
102	27	236
103	27	235
104	27	234
105	27	233
106	27	233
107	28	232
108	28	231
109	28	231
110	28	231
111	29	231
112	29	231
113	29	230
114	29	230
115	30	229
116	30	228
117	30	228
118	30	227
119	30	227
120	31	226
121	31	225
122	31	225
123	31	224
124	32	224
125	32	224
126	32	223
127	32	223
128	32	222
129	33	222
130	33	221
131	33	221
132	33	220
133	34	220
134	34	219
135	34	219
136	34	218
137	34	218
138	35	217
139	35	217
140	35	216
141	35	215
142	35	215
143	36	214
144	36	214
145	36	213
146	36	213
147	36	212
148	37	212
149	37	211
150	37	211
151	37	210
152	38	211
153	38	210
154	38	210
155	38	210
156	39	209
157	39	209
158	39	209
159	39	208
160	39	207
161	40	207
162	40	206
163	40	206
164	40	206
165	40	205
166	41	205
167	41	205
168	41	204
169	41	204
170	42	204
171	42	204
172	42	203
173	42	203
174	43	202
175	43	202
176	43	202
177	43	202
178	43	201
179	44	201
180	44	200
181	44	200
182	44	200
183	45	200
184	45	199
185	46	202
186	46	202
187	46	201
188	46	201
189	47	200
190	47	200
191	47	199
192	47	199
193	47	199
194	48	198
195	48	198
196	48	198
197	48	197
198	49	197
199	49	197
200	49	196
201	49	196
202	49	196
203	50	195
204	50	195
205	50	195
206	50	195
207	51	194
208	51	194
209	51	194
210	51	193
211	52	193
212	52	193
213	52	192
214	52	192
215	52	191
216	53	191
217	53	191
218	53	191
219	53	191
220	54	190
221	54	190
222	54	190
223	54	189
224	55	189
225	55	189
226	55	188
227	55	188
228	55	188
229	56	188
230	56	188
231	56	188
232	57	187
233	57	187
234	57	187
235	57	187
236	58	186
237	58	186
238	58	186
239	58	185
240	58	185
241	59	184
242	59	184
243	59	184
244	59	184
245	59	183
246	60	183
247	60	182
248	60	182
249	60	182
250	61	182
251	61	181
252	61	181
253	61	181
254	61	181
255	62	180
256	62	180
257	62	180
258	63	180
259	63	179
260	63	179
261	63	179
262	63	178
263	64	178
264	64	178
265	64	177
266	64	177
267	64	177
268	65	177
269	65	176
270	65	176
271	65	176
272	66	175
273	66	175
274	66	175
275	66	174
276	66	174
277	67	174
278	67	173
279	67	173
280	67	173
281	67	173
282	68	172
283	68	172
284	68	172
285	69	172
286	69	172
287	69	172
288	69	171
289	70	171
290	70	171
291	70	170
292	70	170
293	70	170
294	71	170
295	71	169
296	71	169
297	71	169
298	72	168
299	72	168
300	72	168
301	72	168
302	73	168
303	73	168
304	73	168
305	74	168
306	74	167
307	74	167
308	74	167
309	74	166
310	75	166
311	75	166
312	75	165
313	75	165
314	76	165
315	76	165
316	76	164
317	76	164
318	76	164
319	77	164
320	77	164
321	77	164
322	78	163
323	78	163
324	78	163
325	78	162
326	78	162
327	79	162
328	79	161
329	79	161
330	79	161
331	80	161
332	80	160
333	80	160
334	80	160
335	81	160
336	81	160
337	81	159
338	81	159
339	82	159
340	82	158
341	82	158
342	82	158
343	82	158
344	83	157
345	83	157
