iter	Passed	Remaining
0	60	60677
1	60	30422
2	61	20328
3	61	15282
4	61	12253
5	61	10234
6	61	8794
7	62	7711
8	62	6871
9	62	6197
10	62	5647
11	63	5188
12	63	4799
13	63	4466
14	63	4177
15	63	3924
16	64	3701
17	64	3504
18	64	3327
19	64	3168
20	64	3023
21	65	2892
22	65	2772
23	65	2663
24	65	2561
25	65	2468
26	66	2382
27	66	2302
28	66	2227
29	66	2158
30	66	2092
31	67	2031
32	67	1973
33	67	1919
34	67	1869
35	68	1821
36	68	1776
37	68	1732
38	68	1691
39	68	1652
40	69	1615
41	69	1580
42	69	1552
43	69	1520
44	70	1489
45	70	1459
46	70	1431
47	70	1404
48	71	1378
49	71	1353
50	71	1329
51	71	1306
52	71	1283
53	72	1262
54	72	1241
55	72	1221
56	72	1202
57	72	1184
58	73	1166
59	73	1148
60	73	1131
61	73	1115
62	73	1100
63	74	1084
64	74	1070
65	74	1055
66	74	1041
67	74	1026
68	75	1012
69	75	1000
70	75	987
71	75	975
72	75	963
73	76	952
74	76	941
75	76	930
76	76	920
77	76	909
78	77	899
79	77	890
80	77	880
81	77	871
82	78	862
83	78	853
84	78	843
85	78	835
86	80	842
87	80	834
88	80	826
89	80	818
90	81	810
91	81	802
92	81	795
93	81	787
94	81	780
95	82	773
96	82	766
97	82	760
98	82	753
99	83	747
100	83	741
101	83	734
102	83	728
103	83	722
104	84	717
105	84	712
106	84	706
107	84	701
108	85	696
109	85	691
110	85	686
111	85	681
112	86	676
113	86	672
114	86	667
115	86	662
116	87	657
117	87	652
118	87	647
119	87	643
120	87	638
121	88	633
122	88	628
123	88	624
124	88	619
125	88	615
126	88	611
127	89	606
128	89	602
129	89	598
130	89	594
131	89	590
132	90	587
133	90	583
134	90	579
135	90	576
136	90	572
137	91	568
138	91	565
139	91	562
140	91	558
141	91	555
142	92	552
143	92	549
144	92	546
145	92	543
146	93	540
147	93	537
148	93	534
149	93	531
150	93	528
151	94	525
152	94	522
153	94	519
154	94	516
155	94	513
156	95	511
157	95	508
158	95	505
159	95	502
160	96	500
161	96	497
162	96	494
163	96	492
164	96	489
165	96	487
166	97	484
167	97	484
168	98	482
169	98	480
170	98	478
171	98	475
172	99	473
173	99	471
174	99	468
175	99	466
176	99	464
177	100	462
178	100	460
179	100	457
180	100	455
181	100	453
182	101	451
183	101	448
184	101	446
185	101	444
186	101	442
187	102	440
188	102	438
189	102	436
190	102	434
191	102	432
192	103	431
193	103	429
194	103	427
195	103	425
196	103	423
197	104	421
198	104	420
199	104	418
200	104	416
201	105	414
202	105	413
203	105	411
204	105	409
205	105	407
206	106	406
207	106	404
208	106	403
209	106	401
210	106	399
211	107	398
212	107	396
213	107	394
214	107	393
215	107	391
216	108	390
217	108	388
218	108	387
219	108	385
220	108	383
221	109	382
222	109	380
223	109	379
224	109	378
225	109	376
226	110	375
227	110	373
228	110	372
229	110	370
230	110	369
231	111	367
232	111	366
233	111	365
234	111	363
235	111	362
236	112	361
237	112	359
238	112	358
239	112	357
240	112	355
241	113	354
242	113	353
243	113	351
244	113	350
245	113	349
246	114	347
247	114	346
248	114	345
249	114	344
250	114	342
251	115	341
252	115	340
253	115	339
254	115	337
255	115	336
256	116	335
257	116	334
258	116	333
259	116	332
260	116	330
261	117	329
262	117	328
263	117	327
264	117	326
265	117	325
266	118	324
267	118	323
268	118	321
269	118	320
270	118	319
271	119	318
272	119	317
273	119	316
274	119	315
275	119	314
276	120	313
277	120	312
278	120	311
279	120	310
280	120	309
281	121	308
282	121	307
283	121	306
284	121	305
285	121	304
286	122	303
287	122	302
288	122	301
289	122	300
290	122	299
291	123	298
292	123	297
293	123	296
294	123	295
295	124	294
296	124	294
297	124	293
298	124	292
299	124	291
300	125	290
301	125	289
302	125	288
303	125	287
304	125	286
305	126	285
306	126	284
307	126	284
308	126	283
309	126	282
310	127	281
311	127	280
312	127	279
313	127	278
314	127	278
315	128	277
316	128	276
317	128	275
318	128	274
319	128	273
320	129	273
321	129	272
322	129	271
323	129	270
324	129	269
325	130	268
326	130	268
327	130	267
328	130	266
329	134	272
330	134	271
331	134	271
332	134	270
333	135	269
334	135	268
335	135	267
336	135	266
337	135	266
338	136	265
339	136	264
340	136	263
341	136	263
342	136	262
343	137	261
344	137	260
345	139	262
346	149	280
347	149	280
348	149	279
349	149	278
350	150	277
351	150	276
352	150	276
353	160	292
354	160	292
355	160	291
356	161	290
357	161	289
358	161	288
359	161	287
360	162	286
361	162	286
362	162	285
363	162	284
364	162	283
365	163	282
366	163	281
367	163	280
368	163	279
369	163	279
370	164	278
371	164	277
372	164	276
373	164	275
374	165	275
375	165	274
376	165	273
377	165	272
378	166	272
379	166	271
380	166	270
381	166	269
382	167	269
383	167	268
384	167	267
385	167	267
386	168	266
387	168	265
388	168	264
389	168	264
390	169	263
391	169	262
392	169	262
393	169	261
394	170	260
395	170	260
396	170	259
397	170	258
398	171	257
399	171	257
400	171	256
401	172	256
402	172	255
403	172	254
404	173	254
405	173	253
406	173	252
407	173	252
408	174	251
409	174	251
410	174	250
411	181	259
412	182	258
413	182	258
414	192	271
415	192	270
416	193	269
417	193	269
418	193	268
419	193	267
420	194	266
421	194	266
422	194	265
423	194	264
424	195	263
425	195	263
426	195	262
427	195	261
428	196	260
429	196	260
430	196	259
431	196	258
432	196	257
433	197	256
434	197	256
435	197	255
436	197	254
437	197	253
438	198	253
439	198	252
440	198	251
441	198	250
442	198	250
443	199	249
444	199	248
445	199	247
446	199	247
447	199	246
448	200	245
449	200	244
450	200	244
451	200	243
452	200	242
453	201	241
454	201	241
455	201	240
456	201	239
457	201	238
458	202	238
459	202	237
460	202	236
461	202	236
462	202	235
463	203	234
464	203	234
465	203	233
466	203	232
467	204	232
468	204	231
469	204	230
470	204	230
471	205	229
472	205	228
473	205	228
474	205	227
475	206	226
476	206	226
477	206	225
478	206	224
479	206	224
480	207	223
481	207	222
482	207	222
483	207	221
484	208	221
485	208	220
486	208	219
487	208	219
488	209	218
489	209	217
490	209	217
491	209	216
492	209	215
493	210	215
494	210	214
495	210	213
496	210	213
497	211	212
498	211	212
499	211	211
500	211	210
501	211	210
502	212	209
